{{e,'c'},c},
{{a,'c'},ac},
{{b,'c'},bc},
{{c,'c'},cc},
{{ab,'c'},abc},
{{ac,'c'},acc},
{{ba,'c'},bac},
{{bc,'c'},bcc},
{{ca,'c'},cac},
{{cb,'c'},cbc},
{{aa,'c'},aac},
{{bb,'c'},bbc},
{{cc,'c'},ccc},
{{abc,'c'},bcc},
{{acb,'c'},cbc},
{{bac,'c'},acc},
{{bca,'c'},cac},
{{cab,'c'},abc},
{{cba,'c'},bac},
{{aab,'c'},abc},
{{aba,'c'},bac},
{{abb,'c'},bbc},
{{aac,'c'},BAD},
{{aca,'c'},BAD},
{{baa,'c'},aac},
{{bab,'c'},abc},
{{bba,'c'},bac},
{{bbc,'c'},BAD},
{{bcb,'c'},BAD},
{{caa,'c'},BAD},
{{cac,'c'},BAD},
{{cca,'c'},BAD},
{{cbc,'c'},BAD},
{{ccb,'c'},BAD},
{{aaa,'c'},BAD},
{{bbb,'c'},BAD},
{{ccc,'c'},BAD},
{{BAD,'c'},BAD}
