{{e,'b'},b},
{{a,'b'},ab},
{{b,'b'},bb},
{{c,'b'},cb},
{{ab,'b'},abb},
{{ac,'b'},acb},
{{ba,'b'},bab},
{{bc,'b'},bcb},
{{ca,'b'},cab},
{{cb,'b'},cbb},
{{aa,'b'},aab},
{{bb,'b'},bbb},
{{cc,'b'},ccb},
{{abc,'b'},bcb},
{{acb,'b'},cbb},
{{bac,'b'},acb},
{{bca,'b'},cab},
{{cab,'b'},abb},
{{cba,'b'},bab},
{{aab,'b'},BAD},
{{aba,'b'},BAD},
{{abb,'b'},BAD},
{{aac,'b'},acb},
{{aca,'b'},cab},
{{baa,'b'},BAD},
{{bab,'b'},BAD},
{{bba,'b'},BAD},
{{bbc,'b'},BAD},
{{bcb,'b'},BAD},
{{caa,'b'},aab},
{{cac,'b'},acb},
{{cca,'b'},cab},
{{cbc,'b'},BAD},
{{ccb,'b'},BAD},
{{aaa,'b'},BAD},
{{bbb,'b'},BAD},
{{ccc,'b'},BAD},
{{BAD,'b'},BAD}
